dataset,experiment,subject,trials_per_class,mode,mean_accuracy,std_accuracy
BNCI2014_001,csp_lda,1,5,csp_lda,0.5986111111111111,0.0381375839381832
BNCI2014_001,csp_lda,1,10,csp_lda,0.7069444444444444,0.054926999814681
BNCI2014_001,csp_lda,1,20,csp_lda,0.8027777777777778,0.0178945815648959
BNCI2014_001,csp_lda,1,50,csp_lda,0.8722222222222221,0.0306186217847897
BNCI2014_001,csp_lda,2,5,csp_lda,0.5111111111111111,0.0369036951544067
BNCI2014_001,csp_lda,2,10,csp_lda,0.525,0.0279853356661248
BNCI2014_001,csp_lda,2,20,csp_lda,0.5305555555555556,0.015590239111558
BNCI2014_001,csp_lda,2,50,csp_lda,0.5222222222222223,0.0212459146399699
BNCI2014_001,csp_lda,3,5,csp_lda,0.6986111111111111,0.0769048233328173
BNCI2014_001,csp_lda,3,10,csp_lda,0.8166666666666667,0.0369036951544067
BNCI2014_001,csp_lda,3,20,csp_lda,0.8597222222222222,0.0699150719369623
BNCI2014_001,csp_lda,3,50,csp_lda,0.8805555555555555,0.0323941771935849
BNCI2014_001,csp_lda,4,5,csp_lda,0.5611111111111111,0.0732828108792939
BNCI2014_001,csp_lda,4,10,csp_lda,0.5652777777777778,0.040397332145136
BNCI2014_001,csp_lda,4,20,csp_lda,0.6250000000000001,0.0498841249890777
BNCI2014_001,csp_lda,4,50,csp_lda,0.6458333333333333,0.0504608392349582
BNCI2014_001,csp_lda,5,5,csp_lda,0.5097222222222222,0.0347499888977688
BNCI2014_001,csp_lda,5,10,csp_lda,0.5027777777777778,0.0034020690871988
BNCI2014_001,csp_lda,5,20,csp_lda,0.5097222222222222,0.0112833866731054
BNCI2014_001,csp_lda,5,50,csp_lda,0.5430555555555555,0.0459384316903923
BNCI2014_001,csp_lda,6,5,csp_lda,0.5361111111111111,0.0962651302842414
BNCI2014_001,csp_lda,6,10,csp_lda,0.6041666666666667,0.0740161810804123
BNCI2014_001,csp_lda,6,20,csp_lda,0.601388888888889,0.0573663234112871
BNCI2014_001,csp_lda,6,50,csp_lda,0.6458333333333333,0.0684653196881457
BNCI2014_001,csp_lda,7,5,csp_lda,0.5458333333333334,0.0598351645237167
BNCI2014_001,csp_lda,7,10,csp_lda,0.5402777777777779,0.0352460487234708
BNCI2014_001,csp_lda,7,20,csp_lda,0.6513888888888889,0.0897312516956283
BNCI2014_001,csp_lda,7,50,csp_lda,0.6652777777777779,0.0826826448118734
BNCI2014_001,csp_lda,8,5,csp_lda,0.7236111111111111,0.1380111151365518
BNCI2014_001,csp_lda,8,10,csp_lda,0.8125,0.0605402631047315
BNCI2014_001,csp_lda,8,20,csp_lda,0.8861111111111111,0.0459804037701301
BNCI2014_001,csp_lda,8,50,csp_lda,0.9555555555555556,0.0094199027543406
BNCI2014_001,csp_lda,9,5,csp_lda,0.6083333333333334,0.1554439083463077
BNCI2014_001,csp_lda,9,10,csp_lda,0.7819444444444444,0.060316807640579
BNCI2014_001,csp_lda,9,20,csp_lda,0.7486111111111111,0.1105367097281752
BNCI2014_001,csp_lda,9,50,csp_lda,0.8347222222222221,0.0212459146399699
BNCI2014_001,masked_ssl,1,5,csp_lda,0.5986111111111111,0.0381375839381832
BNCI2014_001,masked_ssl,1,10,csp_lda,0.7069444444444444,0.054926999814681
BNCI2014_001,masked_ssl,1,20,csp_lda,0.8027777777777778,0.0178945815648959
BNCI2014_001,masked_ssl,1,50,csp_lda,0.8722222222222221,0.0306186217847897
BNCI2014_001,masked_ssl,2,5,csp_lda,0.5111111111111111,0.0369036951544067
BNCI2014_001,masked_ssl,2,10,csp_lda,0.525,0.0279853356661248
BNCI2014_001,masked_ssl,2,20,csp_lda,0.5305555555555556,0.015590239111558
BNCI2014_001,masked_ssl,2,50,csp_lda,0.5222222222222223,0.0212459146399699
BNCI2014_001,masked_ssl,3,5,csp_lda,0.6986111111111111,0.0769048233328173
BNCI2014_001,masked_ssl,3,10,csp_lda,0.8166666666666667,0.0369036951544067
BNCI2014_001,masked_ssl,3,20,csp_lda,0.8597222222222222,0.0699150719369623
BNCI2014_001,masked_ssl,3,50,csp_lda,0.8805555555555555,0.0323941771935849
BNCI2014_001,masked_ssl,4,5,csp_lda,0.5611111111111111,0.0732828108792939
BNCI2014_001,masked_ssl,4,10,csp_lda,0.5652777777777778,0.040397332145136
BNCI2014_001,masked_ssl,4,20,csp_lda,0.6250000000000001,0.0498841249890777
BNCI2014_001,masked_ssl,4,50,csp_lda,0.6458333333333333,0.0504608392349582
BNCI2014_001,masked_ssl,5,5,csp_lda,0.5097222222222222,0.0347499888977688
BNCI2014_001,masked_ssl,5,10,csp_lda,0.5027777777777778,0.0034020690871988
BNCI2014_001,masked_ssl,5,20,csp_lda,0.5097222222222222,0.0112833866731054
BNCI2014_001,masked_ssl,5,50,csp_lda,0.5430555555555555,0.0459384316903923
BNCI2014_001,masked_ssl,6,5,csp_lda,0.5361111111111111,0.0962651302842414
BNCI2014_001,masked_ssl,6,10,csp_lda,0.6041666666666667,0.0740161810804123
BNCI2014_001,masked_ssl,6,20,csp_lda,0.601388888888889,0.0573663234112871
BNCI2014_001,masked_ssl,6,50,csp_lda,0.6458333333333333,0.0684653196881457
BNCI2014_001,masked_ssl,7,5,csp_lda,0.5458333333333334,0.0598351645237167
BNCI2014_001,masked_ssl,7,10,csp_lda,0.5402777777777779,0.0352460487234708
BNCI2014_001,masked_ssl,7,20,csp_lda,0.6513888888888889,0.0897312516956283
BNCI2014_001,masked_ssl,7,50,csp_lda,0.6652777777777779,0.0826826448118734
BNCI2014_001,masked_ssl,8,5,csp_lda,0.7236111111111111,0.1380111151365518
BNCI2014_001,masked_ssl,8,10,csp_lda,0.8125,0.0605402631047315
BNCI2014_001,masked_ssl,8,20,csp_lda,0.8861111111111111,0.0459804037701301
BNCI2014_001,masked_ssl,8,50,csp_lda,0.9555555555555556,0.0094199027543406
BNCI2014_001,masked_ssl,9,5,csp_lda,0.6083333333333334,0.1554439083463077
BNCI2014_001,masked_ssl,9,10,csp_lda,0.7819444444444444,0.060316807640579
BNCI2014_001,masked_ssl,9,20,csp_lda,0.7486111111111111,0.1105367097281752
BNCI2014_001,masked_ssl,9,50,csp_lda,0.8347222222222221,0.0212459146399699
BNCI2014_001,masked_ssl,1,5,ssl_frozen_linear_probe,0.5347222222222221,0.0062112999374993
BNCI2014_001,masked_ssl,1,10,ssl_frozen_linear_probe,0.5277777777777779,0.0152145154862546
BNCI2014_001,masked_ssl,1,20,ssl_frozen_linear_probe,0.5791666666666667,0.0408720526932282
BNCI2014_001,masked_ssl,1,50,ssl_frozen_linear_probe,0.6041666666666667,0.0263523138347364
BNCI2014_001,masked_ssl,2,5,ssl_frozen_linear_probe,0.5013888888888889,0.013465777381712
BNCI2014_001,masked_ssl,2,10,ssl_frozen_linear_probe,0.5055555555555556,0.0102062072615965
BNCI2014_001,masked_ssl,2,20,ssl_frozen_linear_probe,0.5152777777777777,0.013465777381712
BNCI2014_001,masked_ssl,2,50,ssl_frozen_linear_probe,0.5194444444444445,0.0261317885030927
BNCI2014_001,masked_ssl,3,5,ssl_frozen_linear_probe,0.4944444444444444,0.0408248290463863
BNCI2014_001,masked_ssl,3,10,ssl_frozen_linear_probe,0.5472222222222223,0.0188398055086812
BNCI2014_001,masked_ssl,3,20,ssl_frozen_linear_probe,0.6444444444444445,0.072621758124452
BNCI2014_001,masked_ssl,3,50,ssl_frozen_linear_probe,0.7291666666666667,0.0454317423161003
BNCI2014_001,masked_ssl,4,5,ssl_frozen_linear_probe,0.5291666666666667,0.0403495529064832
BNCI2014_001,masked_ssl,4,10,ssl_frozen_linear_probe,0.5083333333333334,0.0246111738148185
BNCI2014_001,masked_ssl,4,20,ssl_frozen_linear_probe,0.5472222222222222,0.0203176928310108
BNCI2014_001,masked_ssl,4,50,ssl_frozen_linear_probe,0.5611111111111111,0.0188398055086813
BNCI2014_001,masked_ssl,5,5,ssl_frozen_linear_probe,0.5,0.021960261528947
BNCI2014_001,masked_ssl,5,10,ssl_frozen_linear_probe,0.5041666666666667,0.0128800256881884
BNCI2014_001,masked_ssl,5,20,ssl_frozen_linear_probe,0.5152777777777777,0.0027777777777778
BNCI2014_001,masked_ssl,5,50,ssl_frozen_linear_probe,0.5125,0.0092128466398761
BNCI2014_001,masked_ssl,6,5,ssl_frozen_linear_probe,0.4930555555555555,0.040013500808022
BNCI2014_001,masked_ssl,6,10,ssl_frozen_linear_probe,0.5375,0.0634343735926068
BNCI2014_001,masked_ssl,6,20,ssl_frozen_linear_probe,0.4819444444444444,0.0142994863069263
BNCI2014_001,masked_ssl,6,50,ssl_frozen_linear_probe,0.5874999999999999,0.0242956328951887
BNCI2014_001,masked_ssl,7,5,ssl_frozen_linear_probe,0.5041666666666667,0.0189419190235914
BNCI2014_001,masked_ssl,7,10,ssl_frozen_linear_probe,0.5041666666666667,0.0103934927410387
BNCI2014_001,masked_ssl,7,20,ssl_frozen_linear_probe,0.5069444444444444,0.0116202781463066
BNCI2014_001,masked_ssl,7,50,ssl_frozen_linear_probe,0.5083333333333334,0.0051967463705193
BNCI2014_001,masked_ssl,8,5,ssl_frozen_linear_probe,0.5722222222222222,0.118390049006256
BNCI2014_001,masked_ssl,8,10,ssl_frozen_linear_probe,0.6694444444444445,0.1349868534979757
BNCI2014_001,masked_ssl,8,20,ssl_frozen_linear_probe,0.7375,0.0533232050568123
BNCI2014_001,masked_ssl,8,50,ssl_frozen_linear_probe,0.8666666666666666,0.0111111111111111
BNCI2014_001,masked_ssl,9,5,ssl_frozen_linear_probe,0.7208333333333333,0.1481235511988322
BNCI2014_001,masked_ssl,9,10,ssl_frozen_linear_probe,0.8486111111111111,0.0308695982929067
BNCI2014_001,masked_ssl,9,20,ssl_frozen_linear_probe,0.7708333333333333,0.0965252797438558
BNCI2014_001,masked_ssl,9,50,ssl_frozen_linear_probe,0.85,0.0353007361864967
BNCI2014_001,masked_ssl,1,5,ssl_full_finetune,0.7194444444444446,0.0330427145926953
BNCI2014_001,masked_ssl,1,10,ssl_full_finetune,0.7138888888888888,0.0685216465752445
BNCI2014_001,masked_ssl,1,20,ssl_full_finetune,0.7777777777777778,0.0316715395860871
BNCI2014_001,masked_ssl,1,50,ssl_full_finetune,0.8013888888888889,0.0444878260501304
BNCI2014_001,masked_ssl,2,5,ssl_full_finetune,0.5027777777777779,0.0128800256881884
BNCI2014_001,masked_ssl,2,10,ssl_full_finetune,0.5097222222222222,0.0189419190235914
BNCI2014_001,masked_ssl,2,20,ssl_full_finetune,0.55,0.0253828706701348
BNCI2014_001,masked_ssl,2,50,ssl_full_finetune,0.5541666666666667,0.0160775512538753
BNCI2014_001,masked_ssl,3,5,ssl_full_finetune,0.7930555555555555,0.0925879628472164
BNCI2014_001,masked_ssl,3,10,ssl_full_finetune,0.8236111111111111,0.0276385399196283
BNCI2014_001,masked_ssl,3,20,ssl_full_finetune,0.9041666666666666,0.0148292753500434
BNCI2014_001,masked_ssl,3,50,ssl_full_finetune,0.8694444444444445,0.0831479419283098
BNCI2014_001,masked_ssl,4,5,ssl_full_finetune,0.5791666666666667,0.0374227599591874
BNCI2014_001,masked_ssl,4,10,ssl_full_finetune,0.6180555555555556,0.0274283578585159
BNCI2014_001,masked_ssl,4,20,ssl_full_finetune,0.6472222222222223,0.0253828706701348
BNCI2014_001,masked_ssl,4,50,ssl_full_finetune,0.6888888888888889,0.046976484792466
BNCI2014_001,masked_ssl,5,5,ssl_full_finetune,0.5069444444444444,0.0236519255082311
BNCI2014_001,masked_ssl,5,10,ssl_full_finetune,0.5263888888888888,0.0442268981335851
BNCI2014_001,masked_ssl,5,20,ssl_full_finetune,0.5277777777777778,0.0152145154862546
BNCI2014_001,masked_ssl,5,50,ssl_full_finetune,0.6416666666666666,0.0128800256881884
BNCI2014_001,masked_ssl,6,5,ssl_full_finetune,0.5680555555555555,0.0837259270727863
BNCI2014_001,masked_ssl,6,10,ssl_full_finetune,0.5944444444444444,0.0524477988569422
BNCI2014_001,masked_ssl,6,20,ssl_full_finetune,0.6055555555555555,0.0403495529064832
BNCI2014_001,masked_ssl,6,50,ssl_full_finetune,0.6847222222222223,0.023488242396233
BNCI2014_001,masked_ssl,7,5,ssl_full_finetune,0.5180555555555556,0.0330427145926953
BNCI2014_001,masked_ssl,7,10,ssl_full_finetune,0.5291666666666666,0.0410604041641513
BNCI2014_001,masked_ssl,7,20,ssl_full_finetune,0.5652777777777779,0.0578685184888879
BNCI2014_001,masked_ssl,7,50,ssl_full_finetune,0.5541666666666667,0.0401098029949823
BNCI2014_001,masked_ssl,8,5,ssl_full_finetune,0.8652777777777778,0.0303019780962103
BNCI2014_001,masked_ssl,8,10,ssl_full_finetune,0.9222222222222222,0.0426730319326033
BNCI2014_001,masked_ssl,8,20,ssl_full_finetune,0.95,0.0193449837183112
BNCI2014_001,masked_ssl,8,50,ssl_full_finetune,0.9736111111111112,0.0051967463705193
BNCI2014_001,masked_ssl,9,5,ssl_full_finetune,0.6972222222222223,0.1362669176267892
BNCI2014_001,masked_ssl,9,10,ssl_full_finetune,0.8416666666666666,0.0741983910510726
BNCI2014_001,masked_ssl,9,20,ssl_full_finetune,0.8013888888888889,0.1136515141415488
BNCI2014_001,masked_ssl,9,50,ssl_full_finetune,0.8222222222222222,0.0250770417850941
BNCI2014_001,mu_beta_ssl,1,5,csp_lda,0.5986111111111111,0.0381375839381832
BNCI2014_001,mu_beta_ssl,1,10,csp_lda,0.7069444444444444,0.054926999814681
BNCI2014_001,mu_beta_ssl,1,20,csp_lda,0.8027777777777778,0.0178945815648959
BNCI2014_001,mu_beta_ssl,1,50,csp_lda,0.8722222222222221,0.0306186217847897
BNCI2014_001,mu_beta_ssl,2,5,csp_lda,0.5111111111111111,0.0369036951544067
BNCI2014_001,mu_beta_ssl,2,10,csp_lda,0.525,0.0279853356661248
BNCI2014_001,mu_beta_ssl,2,20,csp_lda,0.5305555555555556,0.015590239111558
BNCI2014_001,mu_beta_ssl,2,50,csp_lda,0.5222222222222223,0.0212459146399699
BNCI2014_001,mu_beta_ssl,3,5,csp_lda,0.6986111111111111,0.0769048233328173
BNCI2014_001,mu_beta_ssl,3,10,csp_lda,0.8166666666666667,0.0369036951544067
BNCI2014_001,mu_beta_ssl,3,20,csp_lda,0.8597222222222222,0.0699150719369623
BNCI2014_001,mu_beta_ssl,3,50,csp_lda,0.8805555555555555,0.0323941771935849
BNCI2014_001,mu_beta_ssl,4,5,csp_lda,0.5611111111111111,0.0732828108792939
BNCI2014_001,mu_beta_ssl,4,10,csp_lda,0.5652777777777778,0.040397332145136
BNCI2014_001,mu_beta_ssl,4,20,csp_lda,0.6250000000000001,0.0498841249890777
BNCI2014_001,mu_beta_ssl,4,50,csp_lda,0.6458333333333333,0.0504608392349582
BNCI2014_001,mu_beta_ssl,5,5,csp_lda,0.5097222222222222,0.0347499888977688
BNCI2014_001,mu_beta_ssl,5,10,csp_lda,0.5027777777777778,0.0034020690871988
BNCI2014_001,mu_beta_ssl,5,20,csp_lda,0.5097222222222222,0.0112833866731054
BNCI2014_001,mu_beta_ssl,5,50,csp_lda,0.5430555555555555,0.0459384316903923
BNCI2014_001,mu_beta_ssl,6,5,csp_lda,0.5361111111111111,0.0962651302842414
BNCI2014_001,mu_beta_ssl,6,10,csp_lda,0.6041666666666667,0.0740161810804123
BNCI2014_001,mu_beta_ssl,6,20,csp_lda,0.601388888888889,0.0573663234112871
BNCI2014_001,mu_beta_ssl,6,50,csp_lda,0.6458333333333333,0.0684653196881457
BNCI2014_001,mu_beta_ssl,7,5,csp_lda,0.5458333333333334,0.0598351645237167
BNCI2014_001,mu_beta_ssl,7,10,csp_lda,0.5402777777777779,0.0352460487234708
BNCI2014_001,mu_beta_ssl,7,20,csp_lda,0.6513888888888889,0.0897312516956283
BNCI2014_001,mu_beta_ssl,7,50,csp_lda,0.6652777777777779,0.0826826448118734
BNCI2014_001,mu_beta_ssl,8,5,csp_lda,0.7236111111111111,0.1380111151365518
BNCI2014_001,mu_beta_ssl,8,10,csp_lda,0.8125,0.0605402631047315
BNCI2014_001,mu_beta_ssl,8,20,csp_lda,0.8861111111111111,0.0459804037701301
BNCI2014_001,mu_beta_ssl,8,50,csp_lda,0.9555555555555556,0.0094199027543406
BNCI2014_001,mu_beta_ssl,9,5,csp_lda,0.6083333333333334,0.1554439083463077
BNCI2014_001,mu_beta_ssl,9,10,csp_lda,0.7819444444444444,0.060316807640579
BNCI2014_001,mu_beta_ssl,9,20,csp_lda,0.7486111111111111,0.1105367097281752
BNCI2014_001,mu_beta_ssl,9,50,csp_lda,0.8347222222222221,0.0212459146399699
BNCI2014_001,mu_beta_ssl,1,5,mu_beta_ssl_frozen_linear_probe,0.6749999999999999,0.0591542762195746
BNCI2014_001,mu_beta_ssl,1,10,mu_beta_ssl_frozen_linear_probe,0.6138888888888888,0.0374227599591874
BNCI2014_001,mu_beta_ssl,1,20,mu_beta_ssl_frozen_linear_probe,0.6944444444444444,0.0215165741455967
BNCI2014_001,mu_beta_ssl,1,50,mu_beta_ssl_frozen_linear_probe,0.7069444444444445,0.0092128466398761
BNCI2014_001,mu_beta_ssl,2,5,mu_beta_ssl_frozen_linear_probe,0.5208333333333333,0.021960261528947
BNCI2014_001,mu_beta_ssl,2,10,mu_beta_ssl_frozen_linear_probe,0.513888888888889,0.0210635429001432
BNCI2014_001,mu_beta_ssl,2,20,mu_beta_ssl_frozen_linear_probe,0.523611111111111,0.0246894289369877
BNCI2014_001,mu_beta_ssl,2,50,mu_beta_ssl_frozen_linear_probe,0.5208333333333333,0.0307443661405259
BNCI2014_001,mu_beta_ssl,3,5,mu_beta_ssl_frozen_linear_probe,0.6680555555555555,0.1007686508178725
BNCI2014_001,mu_beta_ssl,3,10,mu_beta_ssl_frozen_linear_probe,0.7097222222222221,0.0198373011903968
BNCI2014_001,mu_beta_ssl,3,20,mu_beta_ssl_frozen_linear_probe,0.7958333333333333,0.0208795783032956
BNCI2014_001,mu_beta_ssl,3,50,mu_beta_ssl_frozen_linear_probe,0.8402777777777779,0.0076072577431272
BNCI2014_001,mu_beta_ssl,4,5,mu_beta_ssl_frozen_linear_probe,0.5333333333333334,0.0154660121189723
BNCI2014_001,mu_beta_ssl,4,10,mu_beta_ssl_frozen_linear_probe,0.5277777777777778,0.0404927214919812
BNCI2014_001,mu_beta_ssl,4,20,mu_beta_ssl_frozen_linear_probe,0.538888888888889,0.017894581564896
BNCI2014_001,mu_beta_ssl,4,50,mu_beta_ssl_frozen_linear_probe,0.538888888888889,0.023488242396233
BNCI2014_001,mu_beta_ssl,5,5,mu_beta_ssl_frozen_linear_probe,0.5125,0.0207869854820774
BNCI2014_001,mu_beta_ssl,5,10,mu_beta_ssl_frozen_linear_probe,0.4930555555555555,0.0145667895579187
BNCI2014_001,mu_beta_ssl,5,20,mu_beta_ssl_frozen_linear_probe,0.4944444444444444,0.0268598327858523
BNCI2014_001,mu_beta_ssl,5,50,mu_beta_ssl_frozen_linear_probe,0.5055555555555555,0.0092128466398761
BNCI2014_001,mu_beta_ssl,6,5,mu_beta_ssl_frozen_linear_probe,0.5152777777777777,0.0314882890243184
BNCI2014_001,mu_beta_ssl,6,10,mu_beta_ssl_frozen_linear_probe,0.5555555555555556,0.0392837100659192
BNCI2014_001,mu_beta_ssl,6,20,mu_beta_ssl_frozen_linear_probe,0.5736111111111112,0.0299819904790595
BNCI2014_001,mu_beta_ssl,6,50,mu_beta_ssl_frozen_linear_probe,0.6208333333333333,0.0286663436674309
BNCI2014_001,mu_beta_ssl,7,5,mu_beta_ssl_frozen_linear_probe,0.5083333333333334,0.0272165526975908
BNCI2014_001,mu_beta_ssl,7,10,mu_beta_ssl_frozen_linear_probe,0.513888888888889,0.0223951604119404
BNCI2014_001,mu_beta_ssl,7,20,mu_beta_ssl_frozen_linear_probe,0.5180555555555556,0.0296585507000869
BNCI2014_001,mu_beta_ssl,7,50,mu_beta_ssl_frozen_linear_probe,0.5249999999999999,0.0128800256881884
BNCI2014_001,mu_beta_ssl,8,5,mu_beta_ssl_frozen_linear_probe,0.7194444444444443,0.102589918403441
BNCI2014_001,mu_beta_ssl,8,10,mu_beta_ssl_frozen_linear_probe,0.8013888888888889,0.0440520875754269
BNCI2014_001,mu_beta_ssl,8,20,mu_beta_ssl_frozen_linear_probe,0.8361111111111112,0.0112833866731054
BNCI2014_001,mu_beta_ssl,8,50,mu_beta_ssl_frozen_linear_probe,0.8527777777777779,0.0141639430933132
BNCI2014_001,mu_beta_ssl,9,5,mu_beta_ssl_frozen_linear_probe,0.6055555555555555,0.1393326244887161
BNCI2014_001,mu_beta_ssl,9,10,mu_beta_ssl_frozen_linear_probe,0.7194444444444444,0.0928168580366868
BNCI2014_001,mu_beta_ssl,9,20,mu_beta_ssl_frozen_linear_probe,0.6680555555555556,0.0765024408551133
BNCI2014_001,mu_beta_ssl,9,50,mu_beta_ssl_frozen_linear_probe,0.7319444444444445,0.0306186217847897
BNCI2014_001,mu_beta_ssl,1,5,mu_beta_ssl_full_finetune,0.6972222222222222,0.0279853356661248
BNCI2014_001,mu_beta_ssl,1,10,mu_beta_ssl_full_finetune,0.7763888888888888,0.0524110062892033
